model,seed,generation,evaluations,best_objective_m,median_objective_m,mean_objective_m
TMSFF,44,19,2000,1.832465881936766,1.8363856840192216,1.8393907936015137
TMSFF,44,20,2100,1.8313020670712383,1.8338648612012731,1.8366845885184775
TMSFF,44,21,2200,1.8313020670712383,1.832465881936766,1.8378919688294182
TMSFF,44,22,2300,1.8310521533650566,1.832465881936766,1.8415772035196867
TMSFF,44,23,2400,1.8305692549528583,1.832408694564727,1.8355949371615474
TMSFF,44,24,2500,1.8305692549528583,1.8317473087375327,1.8401803694057108
TMSFF,44,25,2600,1.8305692549528583,1.831184433805158,1.8451552752704554
TMSFF,44,26,2700,1.8304132400725885,1.831184433805158,1.839437857063874
TMSFF,44,27,2800,1.8304132400725885,1.8307475309650063,1.8321099885164371
TMSFF,44,28,2900,1.829424469457764,1.8305692549528583,1.8594538864960077
TMSFF,44,29,3000,1.8294087242283243,1.8305692549528583,1.8400844011755175
TMSFF,44,30,3100,1.8293395834505968,1.8304132400725885,1.8335569058688832
TMSFF,44,31,3200,1.8292565408999402,1.8296556880727937,1.835401896286589
TMSFF,44,32,3300,1.8286729250497173,1.829424469457764,1.834951617970735
TMSFF,44,33,3400,1.8249811352855243,1.8294087242283243,1.8450285999956617
TMSFF,44,34,3500,1.823233004381982,1.8294087242283243,1.8344100954200084
TMSFF,44,35,3600,1.8218550846815071,1.8293542704539152,1.9338396463191863
TMSFF,44,36,3700,1.8211281573950344,1.8291576473346083,1.829577401015873
TMSFF,44,37,3800,1.8205267960499563,1.8283444957021757,1.8311507675999386
TMSFF,44,38,3900,1.8205267960499563,1.8247670838272856,1.8422330130467546
TMSFF,44,39,4000,1.819780435725293,1.8229390720076268,1.828584543980688
TMSFF,44,40,4100,1.819780435725293,1.8211999649478519,1.826207920066969
TMSFF,44,41,4200,1.8194294078903868,1.8205267960499563,1.9360891873456167
TMSFF,44,42,4300,1.8194294078903868,1.819780435725293,1.8269498690780512
TMSFF,44,43,4400,1.818322480404545,1.819780435725293,1.8257698371598388
TMSFF,44,44,4500,1.818322480404545,1.819780435725293,1.827954436916577
TMSFF,44,45,4600,1.818322480404545,1.8194294078903868,1.8248853800212148
